Community,number_of_members,average_occupied_rate,community_center_x,community_center_y,spatial_dispersion,community_modularity,community_contribution,average_edge_weight
137,1,0.0,409817.91129999986,3390193.9324,0.0,0.0,0.0,0.0
46,1,0.0,412391.7840999998,3392308.674799999,0.0,0.0,0.0,0.0
197,1,0.0,429496.6694,3411334.2282,0.0,0.0,0.0,0.0
106,1,0.0,408703.4132000003,3385461.3188000005,0.0,0.0,0.0,0.0
194,1,0.0,433335.0247999998,3414807.4401,0.0,0.0,0.0,0.0
88,1,0.0,407169.33700000023,3398664.8914,0.0,0.0,0.0,0.0
18,1,0.0,424161.2790000001,3417473.4075000007,0.0,0.0,0.0,0.0
71,1,0.0,412152.45849999966,3392025.2233000007,0.0,0.0,0.0,0.0
39,1,0.0,411659.5696,3393927.5254,0.0,0.0,0.0,0.0
74,1,0.0,401831.7199999997,3395363.4826999996,0.0,0.0,0.0,0.0
126,1,0.0,403556.0407999996,3389488.0766,0.0,0.0,0.0,0.0
95,1,0.0,440127.83650000015,3387795.3772,0.0,0.0,0.0,0.0
196,1,0.0,435789.3915999997,3418002.8958,0.0,0.0,0.0,0.0
62,1,0.0,405645.95210000034,3393401.0200999994,0.0,0.0,0.0,0.0
165,1,0.0,421088.1610000003,3393493.948000001,0.0,0.0,0.0,0.0
13,1,0.0,406094.1628,3372386.2508000005,0.0,0.0,0.0,0.0
97,1,0.0,401812.1986999996,3402674.6329999994,0.0,0.0,0.0,0.0
204,1,0.0,409182.84059999976,3404770.3320000004,0.0,0.0,0.0,0.0
191,1,0.0,430293.1917000003,3378671.4021000005,0.0,0.0,0.0,0.0
183,1,0.0,426280.44890000013,3383592.1215000004,0.0,0.0,0.0,0.0
90,1,0.0,410058.1287000002,3399897.4353,0.0,0.0,0.0,0.0
187,1,0.0,421882.8304000003,3385203.4250000007,0.0,0.0,0.0,0.0
109,1,0.0,409939.1058,3385490.6619000006,0.0,0.0,0.0,0.0
198,1,0.0,426972.90120000014,3417953.5393,0.0,0.0,0.0,0.0
242,1,0.0,401349.8349000001,3410675.534,0.0,0.0,0.0,0.0
254,1,0.0,397586.4528000001,3400820.0579000004,0.0,0.0,0.0,0.0
251,1,0.0,397917.4352000002,3400831.7518000007,0.0,0.0,0.0,0.0
34,1,0.0,412260.55379999994,3386684.4609,0.0,0.0,0.0,0.0
132,1,0.0,406379.9013,3392229.2688999996,0.0,0.0,0.0,0.0
143,1,0.0,401116.09360000025,3388382.748,0.0,0.0,0.0,0.0
69,1,0.0,406134.98199999984,3392296.4344,0.0,0.0,0.0,0.0
89,1,0.0,408328.91550000006,3397600.4923,0.0,0.0,0.0,0.0
94,1,0.0,413133.40529999975,3399199.9693,0.0,0.0,0.0,0.0
48,1,0.0,412110.5592,3392202.8462000005,0.0,0.0,0.0,0.0
101,1,0.0,413567.0902000005,3396225.204399999,0.0,0.0,0.0,0.0
105,1,0.0,409397.2558000004,3385191.6569,0.0,0.0,0.0,0.0
51,1,0.0,410049.6846000002,3393472.3332,0.0,0.0,0.0,0.0
81,1,0.0,406896.8904999997,3398171.1689,0.0,0.0,0.0,0.0
156,1,0.0,415835.4343999997,3394506.2131,0.0,0.0,0.0,0.0
104,1,0.0,414493.35929999966,3395604.586100001,0.0,0.0,0.0,0.0
65,1,0.0,403561.0213000001,3392605.9102,0.0,0.0,0.0,0.0
91,1,0.0,410340.03799999965,3399493.646400001,0.0,0.0,0.0,0.0
247,1,0.0,396549.81879999954,3404224.7299000006,0.0,0.0,0.0,0.0
11,1,0.0,399207.86039999966,3387391.0770999994,0.0,0.0,0.0,0.0
255,1,0.0,427622.36890000006,3392384.715,0.0,0.0,0.0,0.0
218,1,0.0,409315.32739999983,3372126.5735,0.0,0.0,0.0,0.0
124,1,0.0,406089.02440000046,3391221.0270000007,0.0,0.0,0.0,0.0
146,1,0.0,402702.6661999999,3387436.3748000003,0.0,0.0,0.0,0.0
155,1,0.0,414367.06630000006,3395186.7322000004,0.0,0.0,0.0,0.0
181,1,0.0,426739.8525,3384745.2225,0.0,0.0,0.0,0.0
129,1,0.0,402770.6711999997,3390258.2305999994,0.0,0.0,0.0,0.0
222,1,0.0,411361.8399999999,3368277.5764000006,0.0,0.0,0.0,0.0
7,1,0.0,396775.3454,3385419.5068999995,0.0,0.0,0.0,0.0
248,1,0.0,396649.0093999999,3404220.7737000007,0.0,0.0,0.0,0.0
2,1,0.0,419235.8397000004,3410872.304199999,0.0,0.0,0.0,0.0
67,1,0.0,405884.7770999996,3392535.4661,0.0,0.0,0.0,0.0
144,1,0.0,401993.1898999997,3392350.1139,0.0,0.0,0.0,0.0
166,1,0.0,417666.9105000002,3393563.1794000007,0.0,0.0,0.0,0.0
118,1,0.0,410304.20469999965,3379052.749399999,0.0,0.0,0.0,0.0
98,1,0.0,407795.3400999997,3399383.0309999995,0.0,0.0,0.0,0.0
122,1,0.0,403896.8302999996,3389614.0252,0.0,0.0,0.0,0.0
47,1,0.0,414100.0565999998,3395463.2962999996,0.0,0.0,0.0,0.0
9,1,0.0,394305.3735999996,3384658.8743,0.0,0.0,0.0,0.0
189,1,0.0,425276.1840000004,3382809.5145999994,0.0,0.0,0.0,0.0
186,1,0.0,426027.59449999966,3382305.020300001,0.0,0.0,0.0,0.0
190,1,0.0,424634.81230000034,3380950.9363,0.0,0.0,0.0,0.0
36,1,0.0,411406.4494000002,3388641.5243,0.0,0.0,0.0,0.0
221,1,0.0,411630.90010000014,3367865.7337,0.0,0.0,0.0,0.0
44,1,0.0,411321.7995999996,3395278.1096,0.0,0.0,0.0,0.0
223,1,0.0,414349.88939999975,3361061.8785,0.0,0.0,0.0,0.0
225,1,0.0,414458.6835000002,3361060.7641,0.0,0.0,0.0,0.0
25,1,0.0,406878.5935000004,3379237.6219999995,0.0,0.0,0.0,0.0
121,1,0.0,394795.1138000004,3400434.8057000004,0.0,0.0,0.0,0.0
203,1,0.0,409651.1692000004,3404086.1304,0.0,0.0,0.0,0.0
