OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,NEAR_ANGLE,station_id,rate,station_id_1,rate_1,value_,wgs_X,wgs_Y,wgs_X_1,wgs_Y_1,ORIG_FID,Shape_Length
858,61,183,3885.570341166669550,66,171.924046963669355,170.000000000000000,1.000000000000000,458.000000000000000,0.000000000000000,0.000257362475054,104.063324899999998,30.603474490000000,104.023164899999998,30.608102610000000,858,0.040425797548680
859,61,700,4139.993402109888848,71,141.984442129800755,170.000000000000000,1.000000000000000,1907.000000000000000,0.000000000000000,0.000241546278670,104.063324899999998,30.603474490000000,104.029088099999996,30.626220750000002,859,0.041104146260701
860,61,18,4443.682677092941049,76,-15.634221799812330,170.000000000000000,1.000000000000000,74.000000000000000,0.000000000000000,0.000225038571083,104.063324899999998,30.603474490000000,104.108041799999995,30.592987279999999,860,0.045930194238701
861,61,536,4575.295698502687628,82,-121.108663953259651,170.000000000000000,1.000000000000000,1396.000000000000000,0.119047619000000,0.000192545452590,104.063324899999998,30.603474490000000,104.039026699999994,30.567964730000000,861,0.043027265802126
862,61,54,4810.650528406246849,88,63.626631421934647,170.000000000000000,1.000000000000000,156.000000000000000,0.000000000000000,0.000207872094241,104.063324899999998,30.603474490000000,104.085240600000006,30.642504389999999,862,0.044761937227130
863,61,847,5019.024179926653233,96,28.272436783228382,170.000000000000000,1.000000000000000,2461.000000000000000,0.000000000000000,0.000199241917184,104.063324899999998,30.603474490000000,104.109216799999999,30.625239470000000,863,0.050791543437126
864,62,736,431.601599151279970,1,-124.507565116666854,172.000000000000000,1.000000000000000,2035.000000000000000,0.291666667000000,0.001641174023435,104.026914199999993,30.636337449999999,104.024396199999998,30.633110689999999,864,0.004092957866555
865,62,265,526.272267070245221,2,-145.212677089500943,172.000000000000000,1.000000000000000,700.000000000000000,0.833333333000000,0.000316692855445,104.026914199999993,30.636337449999999,104.022433500000005,30.633595690000000,865,0.005252991565571
866,62,690,816.666736778139239,6,-15.997798778367464,172.000000000000000,1.000000000000000,1869.000000000000000,0.400000000000000,0.000734693814477,104.026914199999993,30.636337449999999,104.035122200000004,30.634368569999999,866,0.008440838373873
867,62,1123,1107.202493244167272,8,123.213552995624269,172.000000000000000,1.000000000000000,602.000000000000000,0.100000000000000,0.000812859441242,104.026914199999993,30.636337449999999,104.020504500000001,30.644644280000001,867,0.010492267572403
868,62,700,1140.890704074561654,9,-79.968580069194360,172.000000000000000,1.000000000000000,1907.000000000000000,0.000000000000000,0.000876508149666,104.026914199999993,30.636337449999999,104.029088099999996,30.626220750000002,868,0.010347630652109
